unique_key,timestamp,primary_type,category,longitude,latitude
20161831692,2016-07-01 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
20161800998,2016-06-28 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT FAM/DATE VIOLENCE,,
20163281110,2016-11-23 12:00:00.000000 UTC,Agg Assault,AGG ASLT STRANGLE/SUFFOCATE,,
20141870426,2014-07-06 12:00:00.000000 UTC,Aggravated Assault,DEADLY CONDUCT,-97.697516,30.227852
20143531873,2014-12-19 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.692983,30.235001
20141790734,2014-06-28 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,-97.693995,30.232035
20143411056,2014-12-07 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT ENHANC STRANGL/SUFFOC,-97.695993,30.230912
20142121771,2014-07-31 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.700998,30.228774
20142950768,2014-10-22 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT FAM/DATE VIOLENCE,-97.695911,30.235016
20142040087,2014-07-23 12:00:00.000000 UTC,Aggravated Assault,DEADLY CONDUCT,-97.696841,30.229538
20142290728,2014-08-17 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,-97.693751,30.229725
2014211275,2014-01-21 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.693843,30.230645
2014270866,2014-01-27 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.694095,30.228653
20143310769,2014-11-27 12:00:00.000000 UTC,Aggravated Assault,DEADLY CONDUCT,-97.686897,30.2373
20142011670,2014-07-20 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT ENHANC STRANGL/SUFFOC,-97.686897,30.2373
201411736,2014-01-01 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT WITH MOTOR VEH,-97.701584,30.22785
20143210143,2014-11-17 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.701584,30.22785
2014821422,2014-03-23 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.701584,30.22785
20142781829,2014-10-05 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,-97.693302,30.240805
20143480812,2014-12-14 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,-97.690061,30.240413
20141091525,2014-04-19 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,-97.700089,30.230209
20141500219,2014-05-30 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.704957,30.222593
20142511493,2014-09-08 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,-97.704957,30.222593
2014521651,2014-02-21 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT W/MOTOR VEH FAM/DAT V,-97.711136,30.213969
20141922158,2014-07-12 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.693243,30.219933
20141571628,2014-06-06 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,-97.693243,30.219933
20142611767,2014-09-18 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT ENHANC STRANGL/SUFFOC,-97.692777,30.219674
